OrganRus,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Samples
КЛЕТОЧНАЯ МЕМБРАНА,1.67720000,0.00000000,1.75810000,0.00000000,1.86050000,0.00000000,0.00000000,0.00000000,1
КЛИНОВИДНО-Н,1.73210000,0.98500000,2.01710000,0.00000000,0.93030000,0.00000000,0.00000000,0.00000000,2
КЛИНОВИДНЫЙ СИНУС,1.70000000,0.00000000,3.98830000,0.00000000,0.00000000,0.00000000,30.00000000,0.00000000,1
КОЖА ВОЛОСИСТОЙ ЧАСТИ ГОЛОВЫ,1.69730000,1.82230000,1.94730000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
КОЖНЫЙ БОКОВОЙ НЕРВ БЕДРА,1.74410000,1.75980000,1.77540000,1.79100000,1.80660000,1.82230000,1.83790000,1.85350000,1
КОМПЛЕКС ГОЛЬДЖИ,1.80090000,0.00000000,0.00000000,-46.85000000,-2.79730000,0.00000000,0.00000000,0.00000000,2
КОРЕНЬ  ЯЗЫКА,1.65100000,3.30700000,2.24800000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
КОРКОВЫЙ СЛОЙ ПОЧКИ,1.79400000,1.42100000,1.89300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
КОРОНКА ЗУБА,1.78320000,1.84570000,1.90820000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
КОСАЯ ВЕНА ЛЕВОГО ПРЕДСЕРДИЯ,1.66500000,1.48500000,2.05500000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
КОСТЬ- ТРАПЕЦИЯ,1.72310000,0.00000000,1.66150000,0.00000000,1.73110000,0.00000000,1.67270000,0.00000000,1
КРИПТЫ,1.72700000,0.19970000,1.80990000,0.00000000,1.49410000,0.00000000,0.00000000,0.00000000,5
КРОВЬ В ПРОСВЕТЕ СОСУДА,1.71940000,1.39600000,1.44290000,0.00000000,0.46880000,-0.10810000,0.48260000,0.00190000,4
КРЮЧКОВИДНАЯ КОСТЬ,1.76700000,1.15700000,1.36400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
"ЛАТЕРАЛЬНАЯ АРТЕРИЯ,ОГИБАЮЩАЯ БЕДРО",1.76400000,1.32400000,1.87800000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ЛАТЕРАЛЬНАЯ БОРОЗДА,1.76500000,1.32400000,2.17900000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ЛАТЕРАЛЬНАЯ ГРУДНАЯ ВЕНА,1.71670000,0.66050000,1.71860000,0.00000000,1.12500000,0.00000000,1.15620000,0.00000000,2
ЛЕВАЯ  ПЛЕЧЕГОЛОВНАЯ  ВЕНА,1.72070000,1.78320000,1.84570000,1.90820000,0.00000000,0.00000000,0.00000000,0.00000000,1
ЛЕВАЯ  ПОДКЛЮЧИЧНАЯ  АРТЕРИЯ,1.74190000,2.55450000,1.80750000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00220000,1
